scientificName,redlistCategory,actions,other_threats,smallpop
Peniocereus lazaro-cardenasii,Endangered,NA,yes,yes
Parodia hausteiniana,Endangered,NA,yes,yes
Copiapoa fiedleriana,Endangered,NA,yes,NA
Mammillaria coahuilensis,Endangered,NA,NA,NA
Parodia allosiphon,Endangered,NA,yes,NA
Cleistocactus longiserpens,Endangered,NA,yes,NA
Frailea fulviseta,Endangered,NA,yes,NA
Peniocereus zopilotensis,Critically Endangered,NA,yes,yes
Gymnocalycium denudatum,Endangered,NA,yes,NA
Cephalocereus senilis,Endangered,yes,NA,NA
Pilosocereus quadricentralis,Endangered,NA,NA,yes
Leptocereus leonii,Critically Endangered,yes,yes,NA
Melocactus matanzanus,Endangered,NA,NA,yes
Echinopsis oligotricha,Endangered,NA,yes,NA
Weberocereus imitans,Endangered,NA,NA,NA
Pseudorhipsalis alata,Endangered,NA,NA,NA
Melocactus braunii,Critically Endangered,NA,yes,NA
Parodia warasii,Endangered,NA,yes,NA
Echinocereus chisosensis,Endangered,NA,NA,NA
Discocactus diersianus,Endangered,NA,NA,NA
Copiapoa grandiflora,Endangered,NA,yes,NA
Eriosyce simulans,Endangered,NA,NA,NA
Pachycereus gaumeri,Endangered,NA,NA,NA
Mammillaria carmenae,Critically Endangered,NA,NA,NA
Parodia nivosa,Critically Endangered,NA,NA,NA
Cereus estevesii,Critically Endangered,NA,yes,yes
Dendrocereus nudiflorus,Endangered,NA,NA,yes
Echinopsis hertrichiana,Endangered,NA,NA,NA
Matucana ritteri,Critically Endangered,NA,NA,NA
Pygmaeocereus bieblii,Endangered,NA,NA,NA
Hatiora epiphylloides,Endangered,NA,yes,NA
Gymnocalycium horstii,Endangered,NA,yes,NA
Pilosocereus diersianus,Critically Endangered,NA,NA,yes
Haageocereus pacalaensis,Critically Endangered,NA,yes,NA
Oroya peruviana,Endangered,NA,yes,NA
Rhipsalis pentaptera,Critically Endangered,yes,yes,NA
Echinopsis angelesiae,Endangered,NA,yes,NA
Myrtillocactus eichlamii,Critically Endangered,yes,yes,yes
Matucana madisoniorum,Critically Endangered,NA,yes,NA
Rhipsalis dissimilis,Endangered,NA,NA,NA
Hylocereus calcaratus,Endangered,NA,NA,NA
Cylindropuntia hystrix,Critically Endangered,NA,NA,NA
Corynopuntia reflexispina,Critically Endangered,NA,yes,NA
Leptocereus wrightii,Critically Endangered,NA,yes,yes
Parodia leninghausii,Endangered,NA,yes,NA
Rhipsalis mesembryanthemoides,Critically Endangered,NA,yes,NA
Parodia horstii,Endangered,NA,yes,NA
Corryocactus brachypetalus,Endangered,NA,yes,NA
Echinopsis bolligeriana,Endangered,NA,yes,NA
Mammillaria surculosa,Endangered,NA,NA,NA
Sclerocactus nyensis,Endangered,NA,yes,NA
Echinopsis coquimbana,Endangered,NA,yes,NA
Disocactus biformis,Endangered,NA,yes,NA
Eriosyce occulta,Endangered,NA,yes,yes
Gymnocalycium ragonesei,Critically Endangered,NA,NA,NA
Pygmaeocereus bylesianus,Critically Endangered,NA,NA,NA
Parodia herteri,Critically Endangered,NA,yes,NA
Matucana weberbaueri,Endangered,NA,NA,NA
Mammillaria parkinsonii,Endangered,NA,NA,NA
Echinocereus nivosus,Critically Endangered,NA,NA,NA
Weberocereus frohningiorum,Critically Endangered,NA,NA,yes
Maihueniopsis minuta,Endangered,NA,NA,NA
Mammillaria theresae,Critically Endangered,NA,yes,NA
Echinocereus sciurus,Endangered,NA,NA,NA
Melocactus stramineus,Endangered,NA,NA,NA
Cleistocactus jajoanus,Endangered,NA,yes,NA
Gymnocalycium neuhuberi,Critically Endangered,NA,NA,NA
Eriosyce iquiquensis,Endangered,NA,NA,NA
Echinocereus leucanthus,Endangered,NA,yes,NA
Mammillaria capensis,Endangered,yes,yes,NA
Weberbauerocereus cephalomacrostibas,Endangered,NA,NA,NA
Echinopsis walteri,Critically Endangered,NA,yes,NA
Stenocereus chacalapensis,Critically Endangered,NA,NA,yes
Cereus saddianus,Critically Endangered,NA,yes,NA
Peniocereus macdougallii,Endangered,NA,NA,yes
Melocactus brederooianus,Critically Endangered,NA,yes,NA
Mammillaria peninsularis,Endangered,NA,NA,NA
Frailea mammifera,Endangered,NA,yes,NA
Hatiora cylindrica,Endangered,NA,NA,NA
Parodia tenuicylindrica,Endangered,NA,yes,NA
Matucana huagalensis,Critically Endangered,NA,NA,NA
Escobaria cubensis,Endangered,NA,yes,NA
Stenocereus martinezii,Endangered,NA,NA,NA
Parodia rudibuenekeri,Endangered,NA,yes,NA
Epiphyllum lepidocarpum,Endangered,NA,NA,NA
Parodia mueller-melchersii,Endangered,NA,yes,NA
Echinopsis caulescens,Endangered,NA,yes,NA
Mammillaria pectinifera,Endangered,NA,yes,NA
Leptocereus scopulophilus,Critically Endangered,NA,NA,NA
Parodia arnostiana,Critically Endangered,NA,yes,NA
Parodia neohorstii,Critically Endangered,yes,yes,NA
Coryphantha potosiana,Critically Endangered,NA,NA,NA
Corynopuntia bulbispina,Endangered,NA,yes,NA
Parodia penicillata,Endangered,NA,NA,yes
Parodia magnifica,Endangered,NA,yes,NA
Astrophytum caput-medusae,Critically Endangered,yes,NA,NA
Echinocereus schmollii,Endangered,yes,yes,yes
Copiapoa solaris,Endangered,NA,yes,NA
Cleistocactus xylorhizus,Critically Endangered,NA,yes,yes
Schlumbergera russelliana,Endangered,NA,yes,NA
Selenicereus atropilosus,Endangered,NA,yes,NA
Arrojadoa marylaniae,Critically Endangered,NA,yes,NA
Eriosyce sociabilis,Endangered,NA,NA,yes
Stenocereus humilis,Endangered,NA,NA,NA
Ferocactus haematacanthus,Endangered,NA,yes,NA
Discocactus hartmannii,Critically Endangered,NA,NA,NA
Matucana tuberculata,Endangered,NA,NA,NA
Mammillaria zublerae,Endangered,NA,NA,yes
Mammillaria johnstonii,Endangered,NA,NA,NA
Stenocereus chrysocarpus,Endangered,NA,NA,NA
Coleocephalocereus pluricostatus,Endangered,NA,yes,NA
Parodia crassigibba,Critically Endangered,NA,yes,NA
Eriosyce aspillagae,Endangered,NA,yes,NA
Leptocereus carinatus,Critically Endangered,NA,yes,yes
Mammillaria laui,Critically Endangered,NA,NA,NA
Gymnocalycium albiareolatum,Critically Endangered,NA,yes,NA
Haageocereus tenuis,Critically Endangered,NA,yes,NA
Pilosocereus ulei,Endangered,NA,yes,NA
Mammillaria humboldtii,Critically Endangered,NA,NA,NA
Mammillaria supertexta,Endangered,NA,yes,NA
Copiapoa decorticans,Critically Endangered,yes,NA,NA
Coryphantha pulleineana,Endangered,NA,NA,NA
Frailea buenekeri,Endangered,NA,yes,NA
Austrocactus spiniflorus,Endangered,NA,NA,NA
Frailea curvispina,Endangered,NA,yes,NA
Mammillaria eichlamii,Endangered,NA,NA,yes
Parodia buiningii,Critically Endangered,NA,yes,NA
Copiapoa ahremephiana,Critically Endangered,NA,yes,NA
Corryocactus ayacuchoensis,Endangered,NA,NA,NA
Tacinga subcylindrica,Endangered,yes,NA,yes
Euryoryzomys lamia,Vulnerable,NA,NA,NA
Alopias superciliosus,Vulnerable,yes,NA,NA
Mobula hypostoma,Endangered,yes,NA,NA
Opisthoteuthis mero,Endangered,NA,NA,NA
Opisthoteuthis massyae,Vulnerable,NA,NA,NA
Opisthoteuthis chathamensis,Critically Endangered,NA,NA,NA
Cirroctopus hochbergi,Endangered,NA,NA,NA
Boophis baetkei,Critically Endangered,NA,NA,NA
Palinurus elephas,Vulnerable,yes,NA,NA
Cheimerius matsubarai,Vulnerable,NA,NA,NA
Acanthopagrus vagus,Vulnerable,NA,yes,NA
Chrysoblephus cristiceps,Critically Endangered,NA,NA,NA
Polysteganus praeorbitalis,Vulnerable,NA,NA,NA
Acanthopagrus sivicolus,Vulnerable,NA,NA,NA
Cymatoceps nasutus,Vulnerable,NA,NA,NA
Polysteganus undulosus,Critically Endangered,yes,NA,NA
Rhabdosargus globiceps,Vulnerable,NA,yes,NA
Dentex dentex,Vulnerable,NA,yes,NA
Petrus rupestris,Endangered,NA,NA,NA
Chrysoblephus gibbiceps,Endangered,NA,yes,NA
Phocarctos hookeri,Endangered,yes,yes,NA
Mammillaria manana,Critically Endangered,NA,NA,NA
Rhampholeon acuminatus,Critically Endangered,NA,yes,NA
Kinyongia vosseleri,Endangered,NA,yes,NA
Rhampholeon temporalis,Endangered,NA,yes,NA
Nadzikambia mlanjensis,Endangered,NA,yes,NA
Rhampholeon platyceps,Endangered,NA,yes,NA
Kinyongia magomberae,Endangered,NA,yes,NA
Kinyongia matschiei,Endangered,NA,yes,NA
Rhampholeon beraduccii,Vulnerable,NA,NA,NA
Kinyongia tenuis,Endangered,NA,NA,NA
Rhampholeon chapmanorum,Critically Endangered,yes,yes,NA
Kinyongia excubitor,Vulnerable,NA,NA,NA
Trioceros quadricornis,Vulnerable,NA,NA,NA
Trioceros pfefferi,Endangered,NA,NA,NA
Kinyongia multituberculata,Endangered,NA,yes,NA
Nyctibatrachus dattatreyaensis,Critically Endangered,NA,NA,NA
Pipistrellus maderensis,Vulnerable,NA,yes,yes
Callulina dawida,Critically Endangered,yes,NA,NA
Plecotus teneriffae,Vulnerable,NA,yes,NA
Opisthoteuthis calypso,Vulnerable,NA,NA,NA
Arthroleptis nguruensis,Vulnerable,NA,NA,NA
Acanthurus chronixis,Vulnerable,NA,NA,NA
Enneanectes smithi,Vulnerable,NA,yes,NA
Clinus latipennis,Endangered,NA,NA,NA
Springeratus polyporatus,Endangered,NA,NA,NA
Sclerocactus brevispinus,Critically Endangered,yes,yes,NA
Siccobaccatus insigniflorus,Endangered,NA,NA,NA
Micranthocereus hofackerianus,Endangered,NA,yes,NA
Arrojadoa multiflora,Endangered,NA,yes,NA
Arrojadoa albiflora,Critically Endangered,NA,yes,NA
Parodia gaucha,Endangered,NA,yes,NA
Discocactus cangaensis,Critically Endangered,NA,yes,NA
Discocactus subterraneo-proliferans,Critically Endangered,NA,yes,yes
Rhipsalis triangularis,Critically Endangered,NA,yes,NA
Coleocephalocereus uebelmanniorum,Endangered,NA,yes,NA
Scartella springeri,Vulnerable,NA,NA,NA
Scartella poiti,Vulnerable,NA,NA,NA
Lupinoblennius paivai,Endangered,NA,NA,NA
Scartella nuchifilis,Vulnerable,NA,NA,NA
Atelopus chirripoensis,Critically Endangered,NA,NA,yes
Diasporus ventrimaculatus,Vulnerable,NA,yes,NA
Raorchestes sushili,Critically Endangered,NA,NA,NA
Halichoeres burekae,Endangered,NA,NA,NA
Gracixalus quyeti,Endangered,NA,NA,NA
Raorchestes chromasynchysi,Vulnerable,NA,yes,NA
Estevesia alex-bragae,Critically Endangered,NA,yes,NA
Anodonthyla emilei,Endangered,NA,NA,NA
Ectopoglossus confusus,Endangered,yes,NA,NA
Arthroleptis perreti,Endangered,NA,NA,NA
Bufo eichwaldi,Vulnerable,yes,NA,NA
Limnonectes megastomias,Vulnerable,NA,NA,NA
Odorrana geminata,Vulnerable,NA,NA,NA
Rhaebo andinophrynoides,Vulnerable,NA,NA,NA
Camellia amplexicaulis,Extinct in the Wild,yes,NA,NA
Camellia aurea,Vulnerable,yes,yes,NA
Camellia crassiphylla,Critically Endangered,yes,yes,yes
Camellia corallina,Endangered,yes,yes,NA
Camellia cucphuongensis,Critically Endangered,yes,yes,yes
Camellia dongnaiensis,Critically Endangered,yes,NA,NA
Camellia flava,Critically Endangered,yes,yes,yes
Camellia gracilipes,Vulnerable,yes,yes,NA
Camellia petelotii,Endangered,yes,yes,NA
Camellia piquetiana,Critically Endangered,yes,NA,yes
Camellia pubicosta,Endangered,yes,yes,NA
Camellia rosmannii,Critically Endangered,yes,NA,NA
Camellia rubriflora,Critically Endangered,yes,yes,yes
Camellia thailandica,Endangered,yes,yes,NA
Camellia tonkinensis,Endangered,yes,NA,NA
Magnolia nana,Endangered,yes,NA,NA
Magnolia sirindhorniae,Endangered,yes,NA,NA
Magnolia blaoensis,Vulnerable,NA,NA,NA
Magnolia thailandica,Vulnerable,yes,NA,NA
Magnolia annamensis,Vulnerable,yes,NA,NA
Magnolia rufibarbata,Endangered,NA,NA,NA
Magnolia hongheensis,Vulnerable,yes,NA,NA
Magnolia shiluensis,Endangered,yes,yes,NA
Magnolia lucida,Endangered,yes,yes,NA
Magnolia dawsoniana,Endangered,NA,NA,NA
Magnolia albosericea,Vulnerable,yes,yes,NA
Magnolia ventii,Endangered,yes,NA,yes
Magnolia rajaniana,Vulnerable,yes,NA,NA
Taxus mairei,Vulnerable,NA,NA,NA
Camellia cattienensis,Vulnerable,yes,NA,NA
Camellia luteocerata,Vulnerable,yes,NA,yes
Camellia maiana,Critically Endangered,yes,NA,yes
Torreya fargesii,Vulnerable,NA,NA,NA
Conus lugubris,Critically Endangered,NA,NA,NA
Conus jeanmartini,Vulnerable,NA,NA,NA
Conus decoratus,Vulnerable,NA,yes,NA
Conus duffyi,Vulnerable,NA,NA,NA
Conus cuneolus,Endangered,NA,NA,NA
Conus julii,Vulnerable,NA,NA,NA
Conus henckesi,Vulnerable,NA,NA,NA
Conus compressus,Vulnerable,NA,NA,NA
Conus hennequini,Vulnerable,NA,NA,NA
Conus felitae,Vulnerable,NA,yes,NA
Conus echinophilus,Endangered,NA,NA,NA
Conus xicoi,Vulnerable,NA,NA,NA
Conus mercator,Endangered,NA,NA,NA
Conus thevenardensis,Vulnerable,NA,NA,NA
Conus tacomae,Vulnerable,NA,NA,NA
Conus bruguieresi,Endangered,NA,NA,NA
Conus teodorae,Vulnerable,NA,NA,NA
Conus stearnsii,Vulnerable,NA,NA,NA
Conus immelmani,Vulnerable,NA,NA,NA
Conus crotchii,Endangered,NA,yes,NA
Conus belairensis,Endangered,NA,NA,NA
Conus fontonae,Vulnerable,NA,NA,NA
Conus allaryi,Vulnerable,NA,NA,NA
Conus salreiensis,Critically Endangered,NA,NA,NA
Conus guinaicus,Vulnerable,NA,NA,NA
Conus mordeirae,Critically Endangered,NA,yes,NA
Conus richardbinghami,Vulnerable,NA,NA,NA
Conus anabathrum,Vulnerable,NA,NA,NA
Conus cloveri,Endangered,NA,NA,NA
Conus rawaiensis,Vulnerable,NA,NA,NA
Conus hybridus,Endangered,NA,NA,NA
Conus melvilli,Vulnerable,NA,NA,NA
Conus ateralbus,Endangered,NA,NA,NA
Conus unifasciatus,Endangered,NA,NA,NA
Conus hieroglyphus,Vulnerable,NA,NA,NA
Conus regonae,Vulnerable,NA,NA,NA
Conus fernandesi,Endangered,NA,NA,NA
Conus ardisiaceus,Vulnerable,NA,NA,NA
Conus cuvieri,Vulnerable,NA,NA,NA
Leptobrachella applebyi,Endangered,NA,yes,NA
Callulina hanseni,Critically Endangered,NA,NA,NA
Callulina kanga,Critically Endangered,NA,NA,NA
Callulina laphami,Critically Endangered,NA,NA,NA
Callulina shengena,Critically Endangered,NA,NA,NA
Callulina stanleyi,Critically Endangered,NA,NA,NA
Takifugu chinensis,Critically Endangered,NA,NA,NA
Takifugu plagiocellatus,Endangered,NA,NA,NA
Canthigaster marquesensis,Vulnerable,NA,NA,NA
Chelonodon pleurospilus,Endangered,NA,NA,NA
Canthigaster cyanetron,Endangered,NA,NA,NA
Arothron inconditus,Vulnerable,NA,NA,NA
Canthigaster sanctaehelenae,Endangered,NA,NA,NA
Magnolia allenii,Endangered,NA,yes,NA
Magnolia angustioblonga,Endangered,yes,NA,yes
Magnolia arcabucoana,Endangered,yes,yes,NA
Magnolia argyrothricha,Endangered,yes,yes,NA
Magnolia chimantensis,Critically Endangered,yes,yes,yes
Magnolia chocoensis,Endangered,yes,NA,NA
Magnolia crassipes,Endangered,yes,NA,NA
Magnolia decidua,Endangered,NA,NA,NA
Magnolia dodecapetala,Vulnerable,NA,yes,NA
Magnolia domingensis,Critically Endangered,yes,yes,NA
Magnolia ekmanii,Critically Endangered,yes,yes,NA
Magnolia emarginata,Critically Endangered,yes,yes,NA
Magnolia hamorii,Endangered,yes,yes,NA
Magnolia irwiniana,Endangered,NA,NA,NA
Magnolia krusei,Endangered,yes,yes,NA
Magnolia kwangsiensis,Vulnerable,NA,NA,NA
Magnolia lacei,Endangered,NA,NA,yes
Magnolia lenticellata,Endangered,NA,NA,NA
Magnolia longipedunculata,Critically Endangered,yes,NA,yes
Magnolia mannii,Vulnerable,yes,yes,NA
Magnolia mexicana,Vulnerable,yes,NA,NA
Magnolia morii,Endangered,yes,NA,NA
Magnolia neillii,Endangered,NA,yes,NA
Magnolia pallescens,Endangered,yes,yes,NA
Magnolia pealiana,Endangered,yes,NA,NA
Magnolia pleiocarpa,Critically Endangered,NA,yes,NA
Magnolia portoricensis,Endangered,NA,NA,NA
Magnolia sharpii,Endangered,NA,yes,NA
Magnolia silvioi,Endangered,yes,yes,NA
Magnolia splendens,Endangered,NA,NA,NA
Magnolia striatifolia,Endangered,yes,yes,NA
Magnolia tamaulipana,Endangered,yes,yes,NA
Betula chichibuensis,Critically Endangered,yes,NA,yes
Ostrya chisosensis,Critically Endangered,yes,NA,NA
Albula glossodonta,Vulnerable,NA,yes,NA
Carpinus hebestroma,Critically Endangered,yes,NA,NA
Ostrya trichocarpa,Endangered,yes,NA,yes
Betula megrelica,Endangered,NA,NA,NA
Carpinus tientaiensis,Critically Endangered,yes,yes,yes
Alnus henryi,Critically Endangered,yes,NA,yes
Ostryopsis nobilis,Vulnerable,NA,NA,NA
Pristimantis rivasi,Endangered,NA,yes,NA
Magnolia pugana,Endangered,NA,yes,NA
Rhincodon typus,Endangered,yes,yes,NA
Eleutherodactylus diplasius,Endangered,NA,NA,NA
Eleutherodactylus notidodes,Endangered,NA,NA,NA
Eleutherodactylus sommeri,Endangered,NA,NA,NA
Ceuthomantis smaragdinus,Vulnerable,NA,NA,NA
Opuntia abjecta,Critically Endangered,NA,yes,yes
Telmatobius rubigo,Vulnerable,NA,NA,NA
Alosa aestivalis,Vulnerable,yes,NA,NA
Callulina meteora,Critically Endangered,NA,NA,NA
Agathis borneensis,Endangered,NA,NA,NA
Agathis dammara,Vulnerable,NA,NA,NA
Trioceros perreti,Endangered,NA,yes,NA
Trioceros serratus,Vulnerable,NA,NA,NA
Telmatobius peruvianus,Vulnerable,NA,NA,NA
Tomistoma schlegelii,Vulnerable,NA,yes,NA
Nototriton brodiei,Endangered,NA,NA,NA
Ameerega planipaleae,Critically Endangered,NA,NA,NA
Cupressus dupreziana,Endangered,NA,yes,NA
Widdringtonia cedarbergensis,Critically Endangered,NA,yes,NA
Cupressus macrocarpa,Vulnerable,NA,yes,NA
Camellia crapnelliana,Vulnerable,NA,NA,NA
Athrotaxis laxifolia,Endangered,NA,yes,NA
Pherosphaera fitzgeraldii,Critically Endangered,NA,yes,NA
Callitris oblonga,Vulnerable,yes,yes,NA
Abies guatemalensis,Endangered,NA,NA,NA
Taxus globosa,Endangered,NA,NA,NA
Magnolia schiedeana,Vulnerable,yes,yes,NA
Fitzroya cupressoides,Endangered,NA,yes,NA
Pinus maximartinezii,Endangered,yes,yes,NA
Acmopyle sahniana,Critically Endangered,yes,NA,yes
Juniperus jaliscana,Endangered,NA,NA,NA
Magnolia gustavii,Critically Endangered,yes,yes,yes
Calocedrus formosana,Endangered,NA,NA,NA
Cunninghamia konishii,Endangered,NA,yes,NA
Magnolia kachirachirai,Endangered,yes,yes,NA
Amentotaxus formosana,Vulnerable,NA,NA,NA
Picea brachytyla,Vulnerable,NA,NA,NA
Picea neoveitchii,Critically Endangered,yes,NA,yes
Picea aurantiaca,Endangered,NA,NA,NA
Larix mastersiana,Endangered,NA,NA,NA
Pseudotsuga japonica,Endangered,NA,yes,yes
Cephalotaxus mannii,Vulnerable,yes,NA,NA
Picea farreri,Vulnerable,NA,NA,NA
Podocarpus costalis,Endangered,NA,NA,NA
Araucaria araucana,Endangered,NA,NA,NA
Dacrydium comosum,Endangered,NA,yes,NA
Juniperus saxicola,Critically Endangered,yes,yes,yes
Agathis kinabaluensis,Endangered,NA,yes,NA
Agathis lenticula,Vulnerable,NA,NA,NA
Agathis orbicula,Endangered,NA,NA,NA
Podocarpus salignus,Vulnerable,yes,yes,NA
Nothofagus alessandrii,Endangered,yes,yes,yes
Nothofagus glauca,Vulnerable,yes,yes,NA
Pilgerodendron uviferum,Vulnerable,NA,yes,NA
Athrotaxis cupressoides,Vulnerable,NA,yes,NA
Athrotaxis selaginoides,Vulnerable,NA,yes,NA
Abies fraseri,Endangered,NA,yes,NA
Carpinus putoensis,Critically Endangered,yes,NA,yes
Ostrya rehderiana,Critically Endangered,yes,yes,yes
Cathaya argyrophylla,Vulnerable,NA,NA,yes
Metasequoia glyptostroboides,Endangered,NA,NA,NA
Abies beshanzuensis,Critically Endangered,yes,NA,yes
Apterosperma oblata,Critically Endangered,yes,yes,NA
Camellia euphlebia,Endangered,yes,yes,NA
Cephalotaxus lanceolata,Endangered,NA,NA,NA
Cephalotaxus oliveri,Vulnerable,NA,yes,NA
Chamaecyparis formosensis,Endangered,NA,NA,NA
Cupressus gigantea,Vulnerable,NA,yes,NA
Chamaecyparis hodginsii,Vulnerable,NA,NA,NA
Magnolia aromatica,Endangered,NA,NA,yes
Pinus wangii,Endangered,NA,NA,NA
Thuja sutchuenensis,Endangered,NA,NA,NA
Torreya jackii,Endangered,NA,NA,NA
Magnolia amoena,Vulnerable,NA,NA,NA
Magnolia cylindrica,Vulnerable,yes,NA,NA
Magnolia rostrata,Endangered,yes,NA,NA
Magnolia zenii,Critically Endangered,NA,NA,yes
Magnolia grandis,Critically Endangered,yes,yes,yes
Tsuga forrestii,Vulnerable,NA,NA,NA
Abies fanjingshanensis,Endangered,NA,NA,NA
Camellia pubipetala,Endangered,yes,yes,NA
Picea chihuahuana,Endangered,NA,NA,NA
Juniperus comitana,Endangered,NA,NA,NA
Juniperus standleyi,Endangered,NA,yes,NA
Pinus merkusii,Vulnerable,NA,yes,NA
Pinus nelsonii,Endangered,NA,NA,NA
Pinus greggii,Vulnerable,NA,NA,NA
Pinus culminicola,Endangered,NA,yes,NA
Pseudotaxus chienii,Vulnerable,yes,NA,NA
Pinus krempfii,Vulnerable,NA,NA,NA
Camellia fleuryi,Endangered,yes,yes,NA
Araucaria angustifolia,Critically Endangered,yes,NA,NA
Picea martinezii,Endangered,yes,yes,NA
Pinus rzedowskii,Vulnerable,NA,yes,NA
Sequoiadendron giganteum,Endangered,NA,yes,NA
Torreya californica,Vulnerable,NA,NA,NA
Cupressus bakeri,Vulnerable,NA,yes,NA
Picea breweriana,Vulnerable,yes,yes,NA
Sequoia sempervirens,Endangered,NA,NA,NA
Alnus maritima,Endangered,yes,NA,NA
Pinus muricata,Vulnerable,NA,yes,NA
Cephalotaxus hainanensis,Endangered,NA,NA,NA
Podocarpus fasciculus,Vulnerable,NA,NA,NA
Podocarpus gibbsiae,Vulnerable,NA,NA,NA
Podocarpus globulus,Endangered,NA,NA,NA
Callitris monticola,Vulnerable,NA,yes,NA
Juniperus barbadensis,Vulnerable,yes,yes,yes
Podocarpus hispaniolensis,Endangered,NA,yes,NA
Podocarpus laubenfelsii,Endangered,NA,NA,NA
Podocarpus lophatus,Vulnerable,NA,NA,NA
Podocarpus nakaii,Endangered,NA,NA,yes
Podocarpus pallidus,Vulnerable,NA,NA,NA
Podocarpus pendulifolius,Endangered,NA,NA,NA
Podocarpus purdieanus,Endangered,yes,yes,NA
Podocarpus rostratus,Endangered,NA,yes,NA
Podocarpus rusbyi,Vulnerable,NA,NA,NA
Podocarpus sellowii,Endangered,NA,NA,NA
Podocarpus transiens,Endangered,NA,NA,NA
Podocarpus urbanii,Critically Endangered,NA,yes,NA
Prumnopitys ladei,Vulnerable,NA,NA,yes
Retrophyllum rospigliosii,Vulnerable,NA,NA,NA
Amentotaxus assamica,Endangered,yes,NA,NA
Juniperus gamboana,Endangered,NA,NA,NA
Falcatifolium angustum,Endangered,NA,yes,NA
Nageia maxima,Endangered,yes,yes,NA
Podocarpus capuronii,Endangered,NA,NA,NA
Picea retroflexa,Endangered,NA,NA,NA
Picea torano,Vulnerable,NA,yes,NA
Pinus amamiana,Endangered,NA,NA,NA
Pinus occidentalis,Endangered,NA,NA,NA
Pseudolarix amabilis,Vulnerable,NA,NA,NA
Afrocarpus usambarensis,Endangered,NA,NA,NA
Dacrydium leptophyllum,Vulnerable,NA,NA,NA
Agathis macrophylla,Endangered,NA,NA,NA
Picea morrisonicola,Vulnerable,NA,NA,NA
Amentotaxus poilanei,Vulnerable,NA,NA,NA
Magnolia nitida,Vulnerable,yes,NA,NA
Magnolia omeiensis,Critically Endangered,NA,NA,yes
Magnolia officinalis,Endangered,yes,NA,NA
Magnolia lotungensis,Endangered,NA,NA,NA
Magnolia sinica,Critically Endangered,NA,NA,yes
Magnolia odora,Vulnerable,NA,yes,NA
Magnolia iltisiana,Vulnerable,yes,yes,NA
Pinus tecunumanii,Vulnerable,NA,NA,NA
Camellia gilbertii,Vulnerable,yes,NA,NA
Prumnopitys andina,Vulnerable,yes,yes,NA
Magnolia yoroconte,Vulnerable,yes,yes,NA
Canthigaster rapaensis,Endangered,NA,NA,NA
Pinus squamata,Critically Endangered,yes,yes,yes
Prumnopitys standleyi,Endangered,NA,NA,NA
Carcharhinus obscurus,Endangered,yes,NA,NA
Carcharodon carcharias,Vulnerable,yes,NA,NA
Magnolia calimaensis,Critically Endangered,yes,yes,NA
Magnolia calophylla,Endangered,yes,yes,NA
Magnolia cararensis,Critically Endangered,yes,yes,NA
Magnolia colombiana,Critically Endangered,yes,NA,NA
Magnolia guatapensis,Endangered,NA,yes,NA
Magnolia mahechae,Endangered,yes,yes,NA
Magnolia urraoensis,Endangered,yes,yes,NA
Magnolia yarumalensis,Endangered,yes,yes,NA
Magnolia caricifragrans,Endangered,yes,yes,NA
Magnolia cespedesii,Critically Endangered,yes,yes,NA
Magnolia espinalii,Critically Endangered,NA,yes,yes
Magnolia georgii,Endangered,yes,yes,NA
Magnolia gilbertoi,Endangered,yes,yes,NA
Magnolia hernandezii,Endangered,yes,yes,NA
Magnolia henaoi,Endangered,yes,NA,NA
Magnolia katiorum,Critically Endangered,yes,yes,NA
Magnolia narinensis,Critically Endangered,yes,NA,NA
Magnolia polyhypsophylla,Critically Endangered,yes,yes,yes
Magnolia santanderiana,Endangered,yes,yes,NA
Magnolia virolinensis,Critically Endangered,yes,yes,NA
Magnolia wolfii,Critically Endangered,yes,yes,yes
Magnolia minor,Vulnerable,yes,NA,NA
Magnolia ovoidea,Critically Endangered,yes,NA,yes
Magnolia coriacea,Endangered,NA,NA,NA
Magnolia xanthantha,Endangered,yes,NA,NA
Magnolia boliviana,Endangered,NA,yes,NA
Pinus albicaulis,Endangered,yes,yes,NA
Pinus palustris,Endangered,NA,NA,NA
Podocarpus matudae,Vulnerable,NA,NA,NA
Squalus acanthias,Vulnerable,NA,NA,NA
Squatina occulta,Critically Endangered,NA,NA,NA
Alopias vulpinus,Vulnerable,yes,NA,NA
Isurus oxyrinchus,Endangered,yes,NA,NA
Carcharhinus longimanus,Critically Endangered,yes,NA,NA
Sphyrna lewini,Critically Endangered,yes,NA,NA
Sphyrna mokarran,Critically Endangered,yes,NA,NA
Sphyrna zygaena,Vulnerable,yes,NA,NA
Podocarpus costaricensis,Critically Endangered,NA,NA,NA
Podocarpus humbertii,Endangered,NA,NA,NA
Coryphantha maiz-tablasensis,Endangered,yes,NA,NA
Coryphantha pycnacantha,Endangered,yes,NA,yes
Tephrocactus bonnieae,Endangered,NA,NA,NA
Mammillaria albiflora,Critically Endangered,NA,NA,NA
Mammillaria anniana,Critically Endangered,NA,NA,NA
Mammillaria aureilanata,Endangered,NA,yes,NA
Mammillaria duwei,Critically Endangered,NA,NA,NA
Mammillaria gasseriana,Endangered,NA,NA,NA
Mammillaria glochidiata,Critically Endangered,NA,NA,yes
Mammillaria herrerae,Critically Endangered,NA,yes,NA
Mammillaria marcosii,Critically Endangered,NA,NA,yes
