assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
92778607,22678559,Aepypodius bruijnii,ANIMALIA,CHORDATA,GALLIFORMES,AVES,MEGAPODIIDAE,Aepypodius,bruijnii,NA,NA,NA,"(Oustalet, 1880)",Endangered,"B1ab(ii,iii,v)+2ab(ii,iii,v); C2a(ii)",3.1,Decreasing,Global
92779438,22678576,Macrocephalon maleo,ANIMALIA,CHORDATA,GALLIFORMES,AVES,MEGAPODIIDAE,Macrocephalon,maleo,NA,NA,NA,"MÃ¼ller, 1846",Endangered,A2bcde+3bcde+4bcde,3.1,Decreasing,Global
92779885,22678583,Megapodius nicobariensis,ANIMALIA,CHORDATA,GALLIFORMES,AVES,MEGAPODIIDAE,Megapodius,nicobariensis,NA,NA,NA,"Blyth, 1846",Vulnerable,C2a(i);D1,3.1,Decreasing,Global
92780409,22678593,Megapodius bernsteinii,ANIMALIA,CHORDATA,GALLIFORMES,AVES,MEGAPODIIDAE,Megapodius,bernsteinii,NA,NA,NA,"Schlegel, 1866",Vulnerable,A2cde+3cde+4cde,3.1,Decreasing,Global
92781287,22678615,Megapodius layardi,ANIMALIA,CHORDATA,GALLIFORMES,AVES,MEGAPODIIDAE,Megapodius,layardi,NA,NA,NA,"Tristram, 1879",Vulnerable,C2a(i),3.1,Decreasing,Global
92781640,22678620,Megapodius laperouse,ANIMALIA,CHORDATA,GALLIFORMES,AVES,MEGAPODIIDAE,Megapodius,laperouse,NA,NA,NA,"Gaimard, 1823",Endangered,"B1ab(ii,iii,iv,v)",3.1,Decreasing,Global
92782396,22678632,Eulipoa wallacei,ANIMALIA,CHORDATA,GALLIFORMES,AVES,MEGAPODIIDAE,Eulipoa,wallacei,NA,NA,NA,"(Gray, 1860)",Vulnerable,A2cde+3cde+4cde,3.1,Decreasing,Global
92782728,22678646,Leipoa ocellata,ANIMALIA,CHORDATA,GALLIFORMES,AVES,MEGAPODIIDAE,Leipoa,ocellata,NA,NA,NA,"Gould, 1840",Vulnerable,A2bce+3ce+4bce,3.1,Decreasing,Global
92785771,22678733,Francolinus gularis,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Francolinus,gularis,NA,NA,NA,"(Temminck, 1815)",Vulnerable,A2cd+3cd+4cd,3.1,Decreasing,Global
92793461,22678891,Pternistis camerunensis,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Pternistis,camerunensis,NA,NA,NA,"(Alexander, 1909)",Endangered,"B1ab(i,ii,iii,v); C2a(ii)",3.1,Decreasing,Global
92793729,22678896,Pternistis swierstrai,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Pternistis,swierstrai,NA,NA,NA,"(Roberts, 1929)",Endangered,"B2ab(i,ii,iii,v);C2a(i)",3.1,Decreasing,Global
92794026,22678901,Xenoperdix udzungwensis,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Xenoperdix,udzungwensis,NA,NA,NA,"Dinesen, Lehmberg, Svendsen &amp; FjeldsÃ¥, 1994",Endangered,B1ab(v),3.1,Stable,Global
