assessmentId,internalTaxonId,scientificName,code,name,note,redlistCategory
92777952,22678544,Crax blumenbachii,3.3.1,Species re-introduction,"<B>Continue the reintroduction programme. 
</B>
</P>",Endangered
92777952,22678544,Crax blumenbachii,2.1,Site/area management,"<B>Ensure the <I>de facto</I></B> protection of all reserves with known populations, especially Monte Pascoal. 
</P>",Endangered
92778607,22678559,Aepypodius bruijnii,5.1.2,Legislation,"Declare the species' core locations as strictly no hunting areas. 
</P>",Endangered
92778607,22678559,Aepypodius bruijnii,1.2,Resource & habitat protection,"Convert Waigeo's 'paper parks' into a single integrated, properly demarcated, meaningful protected area with national park status and multiple-usage zonations demarcated following consultation with local communities. 
</P>",Endangered
92778607,22678559,Aepypodius bruijnii,4.3,Awareness & communications,"Set up an island-wide awareness campaign to prevent future wild fires. 
</P>",Endangered
92779438,22678576,Macrocephalon maleo,3.1.1,Species management,"Initiate maleo-based conservation activities in Paluki and Saluki, Central Sulawesi.
</P>",Endangered
92779438,22678576,Macrocephalon maleo,1.2,Resource & habitat protection,"Renew community-based protection initiatives. 
</P>",Endangered
92779438,22678576,Macrocephalon maleo,1.1,Site/area protection,"Extend protected area status to selected key nesting grounds and forest corridors connecting nesting grounds and non-breeding areas. 
</P>",Endangered
92779438,22678576,Macrocephalon maleo,4.3,Awareness & communications,"Conduct a Sulawesi-wide awareness-raising campaign to discourage Maleo egg consumption and use the species as a flagship for forest conservation.

</P>",Endangered
92779438,22678576,Macrocephalon maleo,4.2,Training,"Strengthen the capacity of conservation agencies and government to prevent illegal activities in formally protected areas and establish new management plans to realistically address conservation issues in National Parks and Nature Reserves.
</P>",Endangered
92779438,22678576,Macrocephalon maleo,2.3,Habitat & natural process restoration,"Reforestation between existing forest and nesting grounds
</P>",Endangered
92779438,22678576,Macrocephalon maleo,2.1,Site/area management,"Extend protected area status to selected key nesting grounds and forest corridors connecting nesting grounds and non-breeding areas. 
</P>",Endangered
92779438,22678576,Macrocephalon maleo,2.1,Site/area management,"Expand management activities in protected areas, particularly scrub clearance at nesting sites, control of invasive egg predators and minimise human disturbance.
</P>",Endangered
92779438,22678576,Macrocephalon maleo,2.1,Site/area management,"Initiate maleo-based conservation activities in Paluki and Saluki, Central Sulawesi.
</P>",Endangered
92779885,22678583,Megapodius nicobariensis,2.2,Invasive/problematic species control,"Eradicate and manage invasive species
</P>",Vulnerable
92779885,22678583,Megapodius nicobariensis,4.3,Awareness & communications,"Initiate a conservation awareness programme to reduce hunting.

</P>",Vulnerable
92779885,22678583,Megapodius nicobariensis,1.1,Site/area protection,"Include coastal forests free from human settlement into the existing Protected Areas networks and strictly implement the Indian Wildlife (Protection) Act, 1972.
</P>",Vulnerable
92779885,22678583,Megapodius nicobariensis,1.1,Site/area protection,"Continue to lobby for expansion of the existing protected areas system to encompass wider tracts of coastal forest on Great Nicobar, the Nancowry island group and Little Nicobar.
</P>",Vulnerable
92779885,22678583,Megapodius nicobariensis,3.1.1,Species management,"Initiate a conservation awareness programme to reduce hunting.

</P>",Vulnerable
92779885,22678583,Megapodius nicobariensis,5.4.2,Compliance and enforcement,"Include coastal forests free from human settlement into the existing Protected Areas networks and strictly implement the Indian Wildlife (Protection) Act, 1972.
</P>",Vulnerable
92779885,22678583,Megapodius nicobariensis,6.1,Linked enterprises & livelihood alternatives,"Empower indigenous people to follow alternative livelihood options such as fishing, handicrafts etc.
</P>",Vulnerable
92779885,22678583,Megapodius nicobariensis,2.3,Habitat & natural process restoration,Carry out habitat restoration work on the west coast of Great Nicobar (A. Rahmani <i>in litt</i>. 2012).,Vulnerable
92779885,22678583,Megapodius nicobariensis,5.4.3,Compliance and enforcement,"Following losses to the tsunami, restore the infrastructure of the state forest department (A. Rahmani <i>in litt</i>. 2012).",Vulnerable
92779885,22678583,Megapodius nicobariensis,5.1.3,Legislation,"Review the immunity of indigenous people to hunting regulations, given their changing lifestyles (A. Rahmani <i>in litt</i>. 2012).",Vulnerable
92780409,22678593,Megapodius bernsteinii,4.3,Awareness & communications,"Raise awareness of the species and its status in an effort to reduce hunting and nest-robbing.
</P>",Vulnerable
92780409,22678593,Megapodius bernsteinii,1.1,Site/area protection,"Protect areas of suitable habitat.
</P>",Vulnerable
92780409,22678593,Megapodius bernsteinii,2.2,Invasive/problematic species control,"Implement control measures against introduced animals if deemed appropriate.
</P>",Vulnerable
92781287,22678615,Megapodius layardi,3.1.1,Species management,"Assess the scale of egg-collection in more areas and encourage the adoption of sustainable harvesting regimes where appropriate
</P>",Vulnerable
92781287,22678615,Megapodius layardi,4.1,Formal education,"Repeat the successful workshop format for future education and awareness campaigns
</P>",Vulnerable
92781287,22678615,Megapodius layardi,4.3,Awareness & communications,"Regularly review the effectiveness of existing conservation efforts on Ambrym and repeat surveys and awareness measures as appropriate
</P>",Vulnerable
92781287,22678615,Megapodius layardi,4.3,Awareness & communications,"Repeat the successful workshop format for future education and awareness campaigns
</P>",Vulnerable
92781640,22678620,Megapodius laperouse,2.2,Invasive/problematic species control,"Eradicate rats from Kayangel. 
</P>",Endangered
92781640,22678620,Megapodius laperouse,1.1,Site/area protection,"In the Marianas, preserve remnant forest from development and feral ungulates.


</P>",Endangered
92781640,22678620,Megapodius laperouse,2.2,Invasive/problematic species control,"Throughout its range, selectively control cats, rats, and monitor lizards, and protect all islands from the introduction of the brown tree-snake.

</P>",Endangered
92781640,22678620,Megapodius laperouse,4.3,Awareness & communications,"Implement an education programme to discourage hunting of the species.
</P>",Endangered
92782396,22678632,Eulipoa wallacei,4.3,Awareness & communications,"Conduct education programmes and work closely with local people to achieve and maintain sustainable egg-harvest regimes.

</P>",Vulnerable
92782396,22678632,Eulipoa wallacei,1.1,Site/area protection,"Campaign for full legal protection of all important, viable nesting grounds, particularly on Halmahera and Haruku. 
</P>",Vulnerable
92782728,22678646,Leipoa ocellata,2.1,Site/area management,"Encourage adoption of suitable fire regimes<B><SUP>2</SUP></B>.
</P>",Vulnerable
92782728,22678646,Leipoa ocellata,2.1,Site/area management,"In reserves, close or fence off artificial water supplies and remove livestock<B><SUP>2</SUP></B>. 

</P>",Vulnerable
92782728,22678646,Leipoa ocellata,2.2,Invasive/problematic species control,"Continue efforts to control foxes, goats and rabbits<B><SUP>2</SUP></B>.
</P>",Vulnerable
92782728,22678646,Leipoa ocellata,1.2,Resource & habitat protection,"Establish long term conservation covenant agreements to secure privately owned natural vegetation<B><SUP>2</SUP></B>. 
</P>",Vulnerable
92782728,22678646,Leipoa ocellata,4.3,Awareness & communications,"Foster communication with graziers and farmers about malleefowl requirements<B><SUP>2</SUP></B>.

</P>",Vulnerable
92782728,22678646,Leipoa ocellata,2.1,Site/area management,"Maintain or establish habitat corridors between fragments<B><SUP>2</SUP></B>.
</P>",Vulnerable
92785771,22678733,Francolinus gularis,4.3,Awareness & communications,"Conduct awareness programmes of the plight of this species and the importance of its habitat at key sites 
</P>",Vulnerable
92785771,22678733,Francolinus gularis,3.3.1,Species re-introduction,Consider reintroduction in areas of restored habitat.,Vulnerable
92785771,22678733,Francolinus gularis,4.2,Training,Train local people in monitoring the species.,Vulnerable
92785771,22678733,Francolinus gularis,2.1,Site/area management,"Provide management recommendations to protected area managers in India and Nepal 
</P>",Vulnerable
92785771,22678733,Francolinus gularis,5.2,Policies and regulations,Implement a control on poaching and trapping of the species.,Vulnerable
92785771,22678733,Francolinus gularis,6.1,Linked enterprises & livelihood alternatives,Provide livelihood alternatives for poachers and trappers.,Vulnerable
92785771,22678733,Francolinus gularis,1.2,Resource & habitat protection,"Establish Site Support Groups at Koshi Tappu and Royal Sukla Phanta Wildlife Reserves in Nepal and key sites in India 
</P>",Vulnerable
92793461,22678891,Pternistis camerunensis,2.1,Site/area management,"Control/regulate human-induced burning of grasslands.
</P>",Endangered
92793729,22678896,Pternistis swierstrai,2.1,Site/area management,"Initiate long-term conservation at Mt Moco IBA, perhaps though a Site Support Group.
</P>",Endangered
92794026,22678901,Xenoperdix udzungwensis,2.1,Site/area management,"Hault the clearance of permanent tourist trails through forests<B><SUP>13</SUP></B>.
</P>",Endangered
92794026,22678901,Xenoperdix udzungwensis,2.1,Site/area management,"Encourage beneficial management practices in the Udzungwa Mountains and Udzungwa National Park IBAs, focusing on the control of fires and illegal hunting. 
</P>",Endangered
92794026,22678901,Xenoperdix udzungwensis,1.1,Site/area protection,"Promote the extension of the national park, with local people given access to undertake certain activities<B><SUP>12</SUP></B>. 
</P>",Endangered
92794026,22678901,Xenoperdix udzungwensis,2.1,Site/area management,"Establish wide buffer zones around forests to protect them from fire<B><SUP>13</SUP></B>.
</P>",Endangered
92794900,22678934,Melanoperdix niger,1.1,Site/area protection,"Following surveys, review whether key populations are adequately represented within the existing protected areas network, and advocate protection of further areas if necessary. 
</P>",Vulnerable
92794900,22678934,Melanoperdix niger,2.1,Site/area management,"Develop support mechanisms for key Important Bird Areas (IBAs) in Peninsular Malaysia.
</P>",Vulnerable
92794900,22678934,Melanoperdix niger,5.1.1,Legislation,"Afford the species full protection under Indonesian and Malaysian law.

</P>",Vulnerable
